StID,Raf_max
15000,19
15004,10
15007,21
15010,12
15014,12
15015,7
15020,20
15023,24
15025,23
15033,22
15042,14
15044,17
15047,11
15056,26
15063,14
15069,11
15073,15
15080,13
15083,11
15085,13
15088,26
15090,18
15094,15
15095,15
15099,14
15107,12
15108,22
15109,18
15111,20
15113,20
15117,11
15118,9
15119,20
15120,16
15123,21
15124,13
15127,14
15136,16
15138,15
15143,23
15145,14
15148,21
15150,13
15154,20
15160,13
15162,16
15163,16
15165,22
15168,12
15170,18
15179,21
15182,13
15184,19
15189,13
15194,15
15197,21
15199,17
15200,6
15204,11
15206,16
15208,15
15209,22
15215,26
15217,16
15219,19
15230,20
15231,23
15235,19
15238,17
15245,17
15247,12
15254,17
15260,19
15261,18
15262,34
15264,14
15265,16
15270,15
15277,20
15279,22
15280,35
15284,29
15285,31
15289,16
15292,15
15296,13
15297,27
15300,20
15301,16
15302,17
15307,17
15310,15
15314,20
15315,22
15316,16
15317,38
15319,19
15320,18
15324,11
15325,21
15328,19
15333,17
15335,18
15336,17
15337,25
15338,23
15340,11
15341,16
15344,15
15345,14
15346,14
15347,15
15349,12
15350,18
15360,23
15364,12
15366,19
15369,13
15373,17
15375,15
15377,13
15387,21
15388,22
15395,23
15402,14
15405,17
15406,20
15408,20
15409,22
15410,18
15412,24
15416,18
15419,18
15420,18
15421,18
15422,20
15425,21
15428,23
15434,20
15444,26
15445,21
15450,25
15455,21
15460,23
15462,24
15465,21
15469,21
15470,25
15475,23
15479,24
15480,19
15482,22
15489,25
15490,21
15491,21
15494,21
15498,23
15499,24
