StID,Theta-e
15000,-2.5
15004,12.5
15007,-1.7
15010,8.1
15014,11.2
15015,15.1
15020,-2
15023,-1.9
15025,-3
15033,24.4
15042,6.3
15044,7.8
15047,15.4
15056,-2
15063,11.7
15069,11
15073,0.3
15080,7.6
15083,16.1
15085,15.9
15088,23.1
15090,-0.3
15094,0
15095,11.8
15099,16.8
15107,11.2
15108,24.5
15109,1.1
15111,-0.5
15113,0.6
15117,10.6
15118,18.2
15119,23.1
15120,17.2
15123,17
15124,16.4
15127,13.1
15136,10.1
15138,14.8
15143,16
15145,18.2
15148,16.5
15150,1.9
15154,0.4
15160,13.9
15162,16.3
15163,21.1
15165,16.4
15168,17.3
15170,13
15179,11.9
15182,11.6
15184,16.9
15189,14
15194,4.2
15197,0.6
15199,10.2
15200,10.6
15204,11.5
15206,12.1
15208,13.8
15209,15
15215,16.1
15217,10.3
15219,3
15230,12.8
15231,14.8
15235,16.8
15238,14.9
15245,9.9
15247,10.7
15254,19.6
15260,15.1
15261,15.7
15262,24.3
15264,3.5
15265,2.7
15270,13.2
15277,17.5
15279,23.5
15280,26.5
15284,25.2
15285,8.7
15289,11.1
15292,12.6
15296,16.6
15297,19.2
15300,13.3
15301,20
15302,21.6
15307,4.4
15310,6.5
15314,13
15315,18.4
15316,17.2
15317,23.3
15319,13
15320,9.3
15324,16.2
15325,20.8
15328,11.6
15333,8.5
15335,9.9
15336,12
15337,12.5
15338,12.7
15340,12
15341,12.6
15344,14
15345,13.5
15346,12.4
15347,14.1
15349,15
15350,5.5
15360,12.9
15364,13.6
15366,12.4
15369,13.9
15373,11.7
15375,12
15377,11.7
15387,16
15388,12.6
15395,11.2
15402,6.7
15405,7.1
15406,7.3
15408,12.7
15409,12.1
15410,11.2
15412,11.6
15416,10.4
15419,10.1
15420,7.9
15421,7.5
15422,8.7
15425,8.7
15428,11
15434,10.4
15444,11.7
15445,13.4
15450,11.2
15455,9.3
15460,9.7
15462,14.6
15465,10.5
15469,10
15470,9.8
15475,9
15479,10.6
15480,15
15482,9.6
15489,9.1
15490,9.4
15491,8.7
15494,10.3
15498,9.4
15499,14.8
